12.58	6.75	0	1	1	1	0	1
12.83	8.83	0	1	0	1	1	1
4.67	5.67	0	1	0	1	0	1
10.42	12.33	0	1	0	0	1	1
4	6.08	0	1	0	1	1	1
9.42	11.5	0	1	1	1	1	0
5.58	7.83	0	1	1	1	1	1
4.92	6.25	0	1	1	1	0	1
4.17	6.42	0	1	0	1	0	0
9.67	7.75	1	0	0	0	1	1
8.67	10.08	0	1	1	1	1	1
11.33	6.58	0	1	0	1	1	1
6.25	7.58	0	1	0	0	0	1
12.58	11.08	0	1	0	0	0	0
10.5	8.08	0	1	1	1	0	1
5.5	8.08	0	1	1	0	0	0
13.08	10.08	0	1	1	1	0	1
5.42	7.75	0	1	1	1	0	1
7.17	9.92	0	1	0	0	1	1
5.67	9.17	0	1	1	1	1	1
13.83	7.92	0	1	1	1	0	0
5.33	8.25	0	1	0	0	0	0
4.75	7.75	0	1	1	1	1	1
7.92	9.5	0	1	0	0	0	0
23.83	7	0	1	1	1	1	1
6.75	6.75	0	1	0	0	1	1
5.58	9.67	0	1	1	1	1	1
9.08	7.67	0	1	0	0	0	0
11.58	14.25	0	1	1	1	1	1
5.17	8.08	1	0	1	1	1	1
13.17	10.33	1	0	1	1	1	1
8.83	6.83	0	1	0	0	1	1
7.75	11.17	0	1	0	0	0	1
9.92	12.83	0	1	1	1	1	1
9.83	11.42	0	1	0	0	0	1
10.42	7.17	0	1	1	1	1	1
10.75	13.58	0	1	1	1	1	1
17.92	14.75	0	1	1	1	0	1
14.67	8.17	0	1	1	1	0	1
11.33	6.5	0	1	1	1	0	1
6.17	4.08	0	1	0	0	1	1
16.33	14.58	0	1	0	0	1	0
11.58	9	1	0	1	1	1	1
15.92	14.5	0	1	0	1	1	1
11.83	7.75	0	1	0	0	0	0
9.5	11.33	0	1	1	0	0	0
9.5	7.67	0	1	0	0	1	0
12.92	15.5	0	1	0	0	1	1
7	8.83	0	1	0	1	1	1
9.25	6.58	0	1	0	1	0	1
23.58	10.83	0	1	1	1	1	1
9.58	8.08	0	1	1	1	1	1
7.08	8.33	0	1	1	0	0	0
9.5	11.92	1	0	1	1	1	1
7.5	10.5	0	1	1	1	1	1
15.33	16.58	0	1	0	0	0	0
6.42	8.25	0	1	0	0	0	0
6.83	9	0	1	0	0	0	0
4	4	0	1	1	0	1	1
4.5	7.83	0	1	0	1	0	1
9.33	6.83	0	1	1	1	0	1
12.58	5.75	0	1	0	1	1	1
16.75	9.17	0	1	1	0	0	1
13.58	4.83	0	1	1	1	1	1
9	7.58	0	1	1	1	0	0
4.58	6.42	0	1	0	0	0	0
16.08	13.17	1	0	1	1	1	1
6.67	4.25	1	0	0	0	0	0
9.33	7.75	0	1	1	1	1	1
5.83	9.17	0	1	1	1	1	1
12.42	14.5	0	1	0	1	1	1
6.33	4.67	1	0	1	1	0	0
7.75	9.67	0	1	1	1	0	1
5.33	9.08	0	1	0	1	1	1
16.17	10.42	0	1	1	1	1	1
14.58	9.42	0	1	0	0	1	1
8.17	11.67	0	1	0	0	0	0
9	7.17	0	1	1	1	1	0
10	14.67	0	1	0	0	1	0
7.42	9.17	0	1	1	1	1	1
6.83	8.25	0	1	1	1	0	0
4.92	6.17	1	0	0	1	1	0
19.17	15.92	0	1	0	1	1	1
5.33	6.92	1	0	1	1	1	1
5.5	7.92	0	1	0	1	1	1
5	7.75	0	1	0	0	0	0
12.42	9.33	1	0	1	1	1	1
4.33	6.67	0	1	1	1	1	1
